Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Ile Atlantique, L' - Tony Duvert.epub;Duvert, Tony;Ile Atlantique, L';130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Ile Atlantique, L';Duvert, Tony
Tzaprenko,Boris [] Conflit génétique - Partie 1 (2010) Science-fiction .F.epub;Tzaprenko,Boris;Conflit génétique - Partie 1;110;CERTAIN;Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Conflit génétique - Partie 1;Tzaprenko,Boris
Notre agent à La Havane - Graham Greene.epub;Greene, Graham;Notre agent à La Havane;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Greene' dans TITRE;Notre agent à La Havane;Greene, Graham
Dumas,Alexandre {père} [-065] Joseph Balsamo - Tome 3 (1846) french.zzz.epub;Dumas,Alexandre;Joseph Balsamo - Tome 3;110;CERTAIN;Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Joseph Balsamo - Tome 3;Dumas,Alexandre
Borgia ! - Michel Zévaco.epub;Zévaco, Michel;Borgia !;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Zévaco' dans TITRE;Borgia !;Zévaco, Michel
Paris-Austerlitz - Rafael Chirbes.epub;Chirbes, Rafael;Paris-Austerlitz;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Paris-Austerlitz;Chirbes, Rafael
Yeux Noirs - Frédéric Boyer.epub;Boyer, Frédéric;Yeux Noirs;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Boyer' dans TITRE;Yeux Noirs;Boyer, Frédéric
Sous les lunes de Jupiter - Anuradha Roy.epub;Roy, Anuradha;Sous les lunes de Jupiter;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Roy' dans TITRE;Sous les lunes de Jupiter;Roy, Anuradha
Nana. - Paris, Marpon et Flammarion o.J. 524 S. - Emile Zola.epub;Zola, Emile;Paris, Marpon et Flammarion o.J. 524 S.;280;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Chiffres dans AUTEUR | Nom d'auteur connu 'Zola' dans TITRE;Paris, Marpon et Flammarion o.J. 524 S.;Zola, Emile
Crime de Lord Arthur Savile, Le - Oscar Wilde.epub;Wilde, Oscar;Crime de Lord Arthur Savile, Le;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Wilde' dans TITRE;Crime de Lord Arthur Savile, Le;Wilde, Oscar
HERBE ROUGE, L’ - Boris Vian.epub;Vian, Boris;HERBE ROUGE, L’;240;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Nom d'auteur connu 'Vian' dans TITRE;HERBE ROUGE, L’;Vian, Boris
Sous haute tension - Harlan Coben.epub;Coben, Harlan;Sous haute tension;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Sous haute tension;Coben, Harlan
Duc de l’Omelette, Le - Edgar Allan Poe.epub;Poe, Edgar Allan;Duc de l’Omelette, Le;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Poe' dans TITRE;Duc de l’Omelette, Le;Poe, Edgar Allan
Grand Palindrome de Georges Perec, Le - Perec Georges.epub;Georges, Perec;Grand Palindrome de Georges Perec, Le;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Georges' dans TITRE;Grand Palindrome de Georges Perec, Le;Georges, Perec
RIEN NE VA PLUS - Kennedy Douglas.epub;Douglas, Kennedy;RIEN NE VA PLUS;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Douglas' dans TITRE;RIEN NE VA PLUS;Douglas, Kennedy
Jusqu'à l'aube - Albrecht Goes.epub;Goes, Albrecht;Jusqu'à l'aube;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Jusqu'à l'aube;Goes, Albrecht
Extrait des rapports d’un agent de police - Charles Barbara.epub;Barbara, Charles;Extrait des rapports d’un agent de police;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Barbara' dans TITRE;Extrait des rapports d’un agent de police;Barbara, Charles
Anna, soror_. - Marguerite Yourcenar.epub;Yourcenar, Marguerite;Anna, soror_.;240;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Nom d'auteur connu 'Yourcenar' dans TITRE;Anna, soror_.;Yourcenar, Marguerite
Notes de Hiroshima - Kenzaburô Ôé.epub;Ôé, Kenzaburô;Notes de Hiroshima;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Ôé' dans TITRE;Notes de Hiroshima;Ôé, Kenzaburô
Defoe,Daniel [] Robinson Crusoe - Tome 1 (1836) french.feed.epub;Defoe,Daniel;Robinson Crusoe - Tome 1;110;CERTAIN;Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Robinson Crusoe - Tome 1;Defoe,Daniel
Management et sciences cognitiv - Bouvier Alain.epub;Alain, Bouvier;Management et sciences cognitiv;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Alain' dans TITRE;Management et sciences cognitiv;Alain, Bouvier
Blanche ou l'oubli - Louis Aragon.epub;Aragon, Louis;Blanche ou l'oubli;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Aragon' dans TITRE;Blanche ou l'oubli;Aragon, Louis
Faute de preuves - Harlan Coben.epub;Coben, Harlan;Faute de preuves;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Faute de preuves;Coben, Harlan
Sylvius (Folio) (French Edition) - Henri Bosco.epub;Bosco, Henri;Sylvius (Folio) (French Edition);270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Bosco' dans TITRE;Sylvius (Folio) (French Edition);Bosco, Henri
Monsieur Ibrahim et les fleurs du Coran - Eric-Emmanuel Schmitt.epub;Schmitt, Eric-Emmanuel;Monsieur Ibrahim et les fleurs du Coran;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Schmitt' dans TITRE;Monsieur Ibrahim et les fleurs du Coran;Schmitt, Eric-Emmanuel
Sociologie des migrations - Mazzella Sylvie.epub;Sylvie, Mazzella;Sociologie des migrations;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Sociologie des migrations;Sylvie, Mazzella
Mon chat Yugoslavia - Pajtim Statovci.epub;Statovci, Pajtim;Mon chat Yugoslavia;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Mon chat Yugoslavia;Statovci, Pajtim
Maître et Marguerite, Le - Mikhaïl Boulgakov.epub;Boulgakov, Mikhaïl;Maître et Marguerite, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Maître et Marguerite, Le;Boulgakov, Mikhaïl
Businessman, Le - Thomas Disch.epub;Disch, Thomas;Businessman, Le;190;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Disch' dans TITRE;Businessman, Le;Disch, Thomas
Itinéraire spiritueux - Gérard Oberlé.epub;Oberlé, Gérard;Itinéraire spiritueux;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Oberlé' dans TITRE;Itinéraire spiritueux;Oberlé, Gérard
Salut Marie - Antoine Sénanque.epub;Sénanque, Antoine;Salut Marie;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Salut Marie;Sénanque, Antoine
Apocalypse bébé - Virginie Despentes.epub;Despentes, Virginie;Apocalypse bébé;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Despentes' dans TITRE;Apocalypse bébé;Despentes, Virginie
Kabukicho - Dominique Sylvain.epub;Sylvain, Dominique;Kabukicho;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Sylvain' dans TITRE;Kabukicho;Sylvain, Dominique
Pressentiment, Le - Emmanuel Bove.epub;Bove, Emmanuel;Pressentiment, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Pressentiment, Le;Bove, Emmanuel
Quête du Graal tome 5, La - Jean Markale.epub;Markale, Jean;Quête du Graal tome 5, La;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR | Chiffres dans AUTEUR;Quête du Graal tome 5, La;Markale, Jean
Par-delà la pluie - Victor Del Arbol.epub;Arbol, Victor Del;Par-delà la pluie;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Par-delà la pluie;Arbol, Victor Del
Hotel Bristol - Michel Tremblay.epub;Tremblay, Michel;Hotel Bristol;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Tremblay' dans TITRE;Hotel Bristol;Tremblay, Michel
Livre de Blaise, Le - Philippe Monnier.epub;Monnier, Philippe;Livre de Blaise, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Livre de Blaise, Le;Monnier, Philippe
Article 353 du code pénal - Tanguy Viel.epub;Viel, Tanguy;Article 353 du code pénal;150;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Chiffres dans AUTEUR;Article 353 du code pénal;Viel, Tanguy
Zone de non-droit - Alex Berg.epub;Berg, Alex;Zone de non-droit;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Zone de non-droit;Berg, Alex
