Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Raffles Hotel - Murakami Ryû.epub;Ryû, Murakami;Raffles Hotel;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Raffles Hotel;Ryû, Murakami
Ile Atlantique, L' - Tony Duvert.epub;Duvert, Tony;Ile Atlantique, L';100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Ile Atlantique, L';Duvert, Tony
Tzaprenko,Boris [] Conflit génétique - Partie 1 (2010) Science-fiction .F.epub;Tzaprenko,Boris;Conflit génétique - Partie 1;90;CERTAIN;R5: Auteur contient des chiffres | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Conflit génétique - Partie 1;Tzaprenko,Boris
Notre agent à La Havane - Graham Greene.epub;Greene, Graham;Notre agent à La Havane;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Notre agent à La Havane;Greene, Graham
Épervier, L' - Henri Bosco.epub;Épervier, L';Bosco, Henri;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Bosco, Henri;Épervier, L'
Dumas,Alexandre {père} [-065] Joseph Balsamo - Tome 3 (1846) french.zzz.epub;Dumas,Alexandre;Joseph Balsamo - Tome 3;90;CERTAIN;R5: Auteur contient des chiffres | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Joseph Balsamo - Tome 3;Dumas,Alexandre
Légende Des Siècles, La - Bibliobazaar & Victor Hugo.epub;Bibliobazaar & Victor Hugo;Légende Des Siècles, La;95;CERTAIN;R3: Auteur se termine par article défini | R8: Titre contient '&' entre noms;Légende Des Siècles, La;Bibliobazaar & Victor Hugo
Borgia ! - Michel Zévaco.epub;Zévaco, Michel;Borgia !;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R6: Ponctuation inhabituelle dans auteur;Borgia !;Zévaco, Michel
Sade mon prochain, précédé de _Le Philosophe scélérat_ - Pierre Klossowski.epub;Klossowski, Pierre;Sade mon prochain, précédé de _Le Philosophe scélérat_;115;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Sade mon prochain, précédé de _Le Philosophe scélérat_;Klossowski, Pierre
Fille du Capitaine, La - Aleksandr Sergeyevich Pushkin.epub;Aleksandr Sergeyevich Pushkin;Fille du Capitaine, La;80;PROBABLE;R3: Auteur se termine par article défini | R7: Titre ressemble à un nom complet;Fille du Capitaine, La;Aleksandr Sergeyevich Pushkin
Paris-Austerlitz - Rafael Chirbes.epub;Chirbes, Rafael;Paris-Austerlitz;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Paris-Austerlitz;Chirbes, Rafael
Yeux Noirs - Frédéric Boyer.epub;Boyer, Frédéric;Yeux Noirs;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Yeux Noirs;Boyer, Frédéric
Sous les lunes de Jupiter - Anuradha Roy.epub;Roy, Anuradha;Sous les lunes de Jupiter;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sous les lunes de Jupiter;Roy, Anuradha
Nana. - Paris, Marpon et Flammarion o.J. 524 S. - Emile Zola.epub;Zola, Emile;Paris, Marpon et Flammarion o.J. 524 S.;110;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres | R9: Titre court et auteur long;Paris, Marpon et Flammarion o.J. 524 S.;Zola, Emile
Crime de Lord Arthur Savile, Le - Oscar Wilde.epub;Wilde, Oscar;Crime de Lord Arthur Savile, Le;125;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Crime de Lord Arthur Savile, Le;Wilde, Oscar
HERBE ROUGE, L’ - Boris Vian.epub;Vian, Boris;HERBE ROUGE, L’;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;HERBE ROUGE, L’;Vian, Boris
Sous haute tension - Harlan Coben.epub;Coben, Harlan;Sous haute tension;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sous haute tension;Coben, Harlan
Duc de l’Omelette, Le - Edgar Allan Poe.epub;Poe, Edgar Allan;Duc de l’Omelette, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Duc de l’Omelette, Le;Poe, Edgar Allan
Grand Palindrome de Georges Perec, Le - Perec Georges.epub;Georges, Perec;Grand Palindrome de Georges Perec, Le;165;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Grand Palindrome de Georges Perec, Le;Georges, Perec
RIEN NE VA PLUS - Kennedy Douglas.epub;Douglas, Kennedy;RIEN NE VA PLUS;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre;RIEN NE VA PLUS;Douglas, Kennedy
Jusqu'à l'aube - Albrecht Goes.epub;Goes, Albrecht;Jusqu'à l'aube;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Jusqu'à l'aube;Goes, Albrecht
Extrait des rapports d’un agent de police - Charles Barbara.epub;Barbara, Charles;Extrait des rapports d’un agent de police;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Extrait des rapports d’un agent de police;Barbara, Charles
Anna, soror_. - Marguerite Yourcenar.epub;Yourcenar, Marguerite;Anna, soror_.;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R6: Ponctuation inhabituelle dans auteur;Anna, soror_.;Yourcenar, Marguerite
Notes de Hiroshima - Kenzaburô Ôé.epub;Ôé, Kenzaburô;Notes de Hiroshima;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Notes de Hiroshima;Ôé, Kenzaburô
rêveries du promeneur solitaire - Rousseau, Les - Biographies.epub;Biographies;Rousseau, Les;50;PROBABLE;R3: Auteur se termine par article défini;Rousseau, Les;Biographies
Defoe,Daniel [] Robinson Crusoe - Tome 1 (1836) french.feed.epub;Defoe,Daniel;Robinson Crusoe - Tome 1;90;CERTAIN;R5: Auteur contient des chiffres | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Robinson Crusoe - Tome 1;Defoe,Daniel
Management et sciences cognitiv - Bouvier Alain.epub;Alain, Bouvier;Management et sciences cognitiv;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre;Management et sciences cognitiv;Alain, Bouvier
Blanche ou l'oubli - Louis Aragon.epub;Aragon, Louis;Blanche ou l'oubli;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Blanche ou l'oubli;Aragon, Louis
Autobiographie de Nikola Tesla, L' - Biographies.epub;Biographies;Autobiographie de Nikola Tesla, L';75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Autobiographie de Nikola Tesla, L';Biographies
travailleurs de la mer - Texte intégral, Les - Victor Hugo & Olivier Tallec.epub;Victor Hugo & Olivier Tallec;Texte intégral, Les;95;CERTAIN;R3: Auteur se termine par article défini | R8: Titre contient '&' entre noms;Texte intégral, Les;Victor Hugo & Olivier Tallec
Faute de preuves - Harlan Coben.epub;Coben, Harlan;Faute de preuves;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Faute de preuves;Coben, Harlan
Styron,William [] Face aux ténèbres - Chronique d'une folie (1990) french.zzz.epub;Styron,William;Face aux ténèbres - Chronique d'une folie;55;PROBABLE;R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Face aux ténèbres - Chronique d'une folie;Styron,William
Sylvius (Folio) (French Edition) - Henri Bosco.epub;Bosco, Henri;Sylvius (Folio) (French Edition);80;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R10: Mots-clés de titres dans auteur;Sylvius (Folio) (French Edition);Bosco, Henri
