Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Dumas,Alexandre {père} [] Récits fantastiques 1.epub;Dumas,Alexandre;Récits fantastiques 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Récits fantastiques 1;Dumas,Alexandre
Shepard,Zoé [] Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire (2010) french.Alex.epub;Shepard,Zoé;Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire;Shepard,Zoé
Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847 - T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p..epub;T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p.;Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847;T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p.
Attali,Jacques [Verbatim-3] Chronique des années 1988-1991 (1995) french.zzz.epub;Attali,Jacques;Chronique des années 1988-1991;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chronique des années 1988-1991;Attali,Jacques
Exbrayat,Charles [Imogène-4] Imogène, vous êtes impossible ! (1963) french.zzz.epub;Exbrayat,Charles;Imogène, vous êtes impossible !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Imogène, vous êtes impossible !;Exbrayat,Charles
Brooks,Terry [Le royaume magique de Landover-01] Royaume magique à vendre ! (1986) french.Alex.epub;Brooks,Terry;Royaume magique à vendre !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Royaume magique à vendre !;Brooks,Terry
The Plays and Fragments_ The Antigone - Sophocles.epub;Sophocles;The Plays and Fragments_ The Antigone;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;The Plays and Fragments_ The Antigone;Sophocles
Ce doux nom _ Natacha - Ossorguine.epub;Ossorguine;Ce doux nom _ Natacha;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Ce doux nom _ Natacha;Ossorguine
Le Rouge,Gustave [] Todd Marvel, détective milliardaire - Tome 1 (1923) french.zzz.epub;Le Rouge,Gustave [] Todd Marvel, détective milliardaire;french.zzz, Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;french.zzz, Tome 1;Le Rouge,Gustave [] Todd Marvel, détective milliardaire
Fforde,Jasper [Thrusday next-2] Délivrez-moi ! (.) french zzz.epub;Fforde,Jasper;Délivrez-moi ! (.) french zzz;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Délivrez-moi ! (.) french zzz;Fforde,Jasper
