Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Cinq Nouvelles Extraordinaires - Gustave Le Rouge.epub;Le Rouge, Gustave;Cinq Nouvelles Extraordinaires;70;PROBABLE;Auteur n'est pas au format standard | Mots-clés de titre dans AUTEUR;Cinq Nouvelles Extraordinaires;Le Rouge, Gustave
Simenon,Georges [Maigret-48] Maigret chez le ministre (1954) french.zzz.epub;Simenon,Georges;Maigret chez le ministre;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Simenon' dans TITRE;Maigret chez le ministre;Simenon,Georges
Épervier, L' - Henri Bosco.epub;Épervier, L';Bosco, Henri;80;PROBABLE;Format 'Nom, Prénom' dans le TITRE;Bosco, Henri;Épervier, L'
Sade mon prochain, précédé de _Le Philosophe scélérat_ - Pierre Klossowski.epub;Klossowski, Pierre;Sade mon prochain, précédé de _Le Philosophe scélérat_;80;PROBABLE;Format 'Nom, Prénom' dans le TITRE;Sade mon prochain, précédé de _Le Philosophe scélérat_;Klossowski, Pierre
Dahl,Roald [J-12] Sacrées sorcières (1983) french.Alex.epub;Dahl,Roald;Sacrées sorcières;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Dahl' dans TITRE;Sacrées sorcières;Dahl,Roald
Silverberg,Robert [] A la fin de l'hiver (.) french.zzz.epub;Silverberg,Robert;A la fin de l'hiver (.);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Silverberg' dans TITRE;A la fin de l'hiver (.);Silverberg,Robert
Hope,Anthony [] Service de la Reine (1898) french.zzz.epub;Hope,Anthony;Service de la Reine;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Hope' dans TITRE;Service de la Reine;Hope,Anthony
Bazin,René [-35] Davidée Birot (1911) french.zzz.epub;Bazin,René;Davidée Birot;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Bazin' dans TITRE;Davidée Birot;Bazin,René
Asimov,Isaac [Empire-2] Tyrann (1951) french.Alex.epub;Asimov,Isaac;Tyrann;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Asimov' dans TITRE;Tyrann;Asimov,Isaac
Silverberg,Robert [R-03] Opération Ganymède (1958) french.Alex.epub;Silverberg,Robert;Opération Ganymède;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Silverberg' dans TITRE;Opération Ganymède;Silverberg,Robert
